field,field,field,field
1,Genesis,OT,1
2,Exodus,OT,1
3,Leviticus,OT,1
4,Numbers,OT,1
5,Deuteronomy,OT,1
6,Joshua,OT,2
7,Judges,OT,2
8,Ruth,OT,2
9,I Samuel,OT,2
10,II Samuel,OT,2
11,I Kings,OT,2
12,II Kings,OT,2
13,I Chronicles,OT,2
14,II Chronicles,OT,2
15,Ezra,OT,2
16,Nehemiah,OT,2
17,Esther,OT,2
18,Job,OT,3
19,Psalms,OT,3
20,Proverbs,OT,3
21,Ecclesiastes,OT,3
22,Song of Solomon,OT,3
23,Isaiah,OT,4
24,Jeremiah,OT,4
25,Lamentations,OT,4
26,Ezekiel,OT,4
27,Daniel,OT,4
28,Hosea,OT,4
29,Joel,OT,4
30,Amos,OT,4
31,Obadiah,OT,4
32,Jonah,OT,4
33,Micah,OT,4
34,Nahum,OT,4
35,Habakkuk,OT,4
36,Zephaniah,OT,4
37,Haggai,OT,4
38,Zechariah,OT,4
39,Malachi,OT,4
40,Matthew,NT,5
41,Mark,NT,5
42,Luke,NT,5
43,John,NT,5
44,Acts,NT,6
45,Romans,NT,7
46,I Corinthians,NT,7
47,II Corinthians,NT,7
48,Galatians,NT,7
49,Ephesians,NT,7
50,Philippians,NT,7
51,Colossians,NT,7
52,I Thessalonians,NT,7
53,II Thessalonians,NT,7
54,I Timothy,NT,7
55,II Timothy,NT,7
56,Titus,NT,7
57,Philemon,NT,7
58,Hebrews,NT,7
59,James,NT,7
60,I Peter,NT,7
61,II Peter,NT,7
62,I John,NT,7
63,II John,NT,7
64,III John,NT,7
65,Jude,NT,7
66,Revelation,NT,8
